Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Year,Round,Circuit_race,Position_quali
1.0,VET,5,Ferrari,3.0,2018,1,Melbourne,3.0
2.0,HAM,44,Mercedes,1.0,2018,1,Melbourne,1.0
3.0,RAI,7,Ferrari,2.0,2018,1,Melbourne,2.0
4.0,RIC,3,Red Bull Racing,8.0,2018,1,Melbourne,5.0
5.0,ALO,14,McLaren,10.0,2018,1,Melbourne,11.0
6.0,VER,33,Red Bull Racing,4.0,2018,1,Melbourne,4.0
7.0,HUL,27,Renault,7.0,2018,1,Melbourne,8.0
8.0,BOT,77,Mercedes,15.0,2018,1,Melbourne,10.0
9.0,VAN,2,McLaren,11.0,2018,1,Melbourne,12.0
10.0,SAI,55,Renault,9.0,2018,1,Melbourne,9.0
11.0,PER,11,Force India,12.0,2018,1,Melbourne,13.0
12.0,OCO,31,Force India,14.0,2018,1,Melbourne,15.0
13.0,LEC,16,Sauber,18.0,2018,1,Melbourne,18.0
14.0,STR,18,Williams,13.0,2018,1,Melbourne,14.0
15.0,HAR,28,Toro Rosso,16.0,2018,1,Melbourne,16.0
16.0,GRO,8,Haas F1 Team,6.0,2018,1,Melbourne,7.0
17.0,MAG,20,Haas F1 Team,5.0,2018,1,Melbourne,6.0
18.0,GAS,10,Toro Rosso,20.0,2018,1,Melbourne,20.0
19.0,ERI,9,Sauber,17.0,2018,1,Melbourne,17.0
20.0,SIR,35,Williams,19.0,2018,1,Melbourne,19.0
1.0,VET,5,Ferrari,1.0,2018,2,Sakhir,1.0
2.0,BOT,77,Mercedes,3.0,2018,2,Sakhir,3.0
3.0,HAM,44,Mercedes,9.0,2018,2,Sakhir,4.0
4.0,GAS,10,Toro Rosso,5.0,2018,2,Sakhir,6.0
5.0,MAG,20,Haas F1 Team,6.0,2018,2,Sakhir,7.0
6.0,HUL,27,Renault,7.0,2018,2,Sakhir,8.0
7.0,ALO,14,McLaren,13.0,2018,2,Sakhir,13.0
8.0,VAN,2,McLaren,14.0,2018,2,Sakhir,14.0
9.0,ERI,9,Sauber,17.0,2018,2,Sakhir,17.0
10.0,OCO,31,Force India,8.0,2018,2,Sakhir,9.0
11.0,SAI,55,Renault,10.0,2018,2,Sakhir,10.0
12.0,LEC,16,Sauber,19.0,2018,2,Sakhir,19.0
13.0,GRO,8,Haas F1 Team,16.0,2018,2,Sakhir,16.0
14.0,STR,18,Williams,20.0,2018,2,Sakhir,20.0
15.0,SIR,35,Williams,18.0,2018,2,Sakhir,18.0
16.0,PER,11,Force India,12.0,2018,2,Sakhir,12.0
17.0,HAR,28,Toro Rosso,11.0,2018,2,Sakhir,11.0
18.0,RAI,7,Ferrari,2.0,2018,2,Sakhir,2.0
19.0,VER,33,Red Bull Racing,15.0,2018,2,Sakhir,15.0
20.0,RIC,3,Red Bull Racing,4.0,2018,2,Sakhir,5.0
1.0,RIC,3,Red Bull Racing,6.0,2018,3,Shanghai,6.0
2.0,BOT,77,Mercedes,3.0,2018,3,Shanghai,3.0
3.0,RAI,7,Ferrari,2.0,2018,3,Shanghai,2.0
4.0,HAM,44,Mercedes,4.0,2018,3,Shanghai,4.0
5.0,VER,33,Red Bull Racing,5.0,2018,3,Shanghai,5.0
6.0,HUL,27,Renault,7.0,2018,3,Shanghai,7.0
7.0,ALO,14,McLaren,13.0,2018,3,Shanghai,13.0
8.0,VET,5,Ferrari,1.0,2018,3,Shanghai,1.0
9.0,SAI,55,Renault,9.0,2018,3,Shanghai,9.0
10.0,MAG,20,Haas F1 Team,11.0,2018,3,Shanghai,11.0
11.0,OCO,31,Force India,12.0,2018,3,Shanghai,12.0
12.0,PER,11,Force India,8.0,2018,3,Shanghai,8.0
13.0,VAN,2,McLaren,14.0,2018,3,Shanghai,14.0
14.0,STR,18,Williams,18.0,2018,3,Shanghai,18.0
15.0,SIR,35,Williams,16.0,2018,3,Shanghai,16.0
16.0,ERI,9,Sauber,20.0,2018,3,Shanghai,20.0
17.0,GRO,8,Haas F1 Team,10.0,2018,3,Shanghai,10.0
18.0,GAS,10,Toro Rosso,17.0,2018,3,Shanghai,17.0
19.0,LEC,16,Sauber,19.0,2018,3,Shanghai,19.0
20.0,HAR,28,Toro Rosso,15.0,2018,3,Shanghai,15.0
1.0,HAM,44,Mercedes,2.0,2018,4,Baku,2.0
2.0,RAI,7,Ferrari,6.0,2018,4,Baku,6.0
3.0,PER,11,Force India,8.0,2018,4,Baku,8.0
4.0,VET,5,Ferrari,1.0,2018,4,Baku,1.0
5.0,SAI,55,Renault,9.0,2018,4,Baku,10.0
6.0,LEC,16,Sauber,13.0,2018,4,Baku,14.0
7.0,ALO,14,McLaren,12.0,2018,4,Baku,13.0
8.0,STR,18,Williams,10.0,2018,4,Baku,11.0
9.0,VAN,2,McLaren,16.0,2018,4,Baku,16.0
10.0,HAR,28,Toro Rosso,19.0,2018,4,Baku,19.0
11.0,ERI,9,Sauber,18.0,2018,4,Baku,18.0
12.0,GAS,10,Toro Rosso,17.0,2018,4,Baku,17.0
13.0,MAG,20,Haas F1 Team,15.0,2018,4,Baku,15.0
14.0,BOT,77,Mercedes,3.0,2018,4,Baku,3.0
15.0,GRO,8,Haas F1 Team,20.0,2018,4,Baku,20.0
16.0,VER,33,Red Bull Racing,5.0,2018,4,Baku,5.0
17.0,RIC,3,Red Bull Racing,4.0,2018,4,Baku,4.0
18.0,HUL,27,Renault,14.0,2018,4,Baku,9.0
19.0,OCO,31,Force India,7.0,2018,4,Baku,7.0
20.0,SIR,35,Williams,11.0,2018,4,Baku,12.0
1.0,HAM,44,Mercedes,1.0,2018,5,Barcelona,1.0
2.0,BOT,77,Mercedes,2.0,2018,5,Barcelona,2.0
3.0,VER,33,Red Bull Racing,5.0,2018,5,Barcelona,5.0
4.0,VET,5,Ferrari,3.0,2018,5,Barcelona,3.0
5.0,RIC,3,Red Bull Racing,6.0,2018,5,Barcelona,6.0
6.0,MAG,20,Haas F1 Team,7.0,2018,5,Barcelona,7.0
7.0,SAI,55,Renault,9.0,2018,5,Barcelona,9.0
8.0,ALO,14,McLaren,8.0,2018,5,Barcelona,8.0
9.0,PER,11,Force India,15.0,2018,5,Barcelona,15.0
10.0,LEC,16,Sauber,14.0,2018,5,Barcelona,14.0
11.0,STR,18,Williams,18.0,2018,5,Barcelona,19.0
12.0,HAR,28,Toro Rosso,20.0,2018,5,Barcelona,20.0
13.0,ERI,9,Sauber,17.0,2018,5,Barcelona,17.0
14.0,SIR,35,Williams,19.0,2018,5,Barcelona,18.0
15.0,VAN,2,McLaren,11.0,2018,5,Barcelona,11.0
16.0,OCO,31,Force India,13.0,2018,5,Barcelona,13.0
17.0,RAI,7,Ferrari,4.0,2018,5,Barcelona,4.0
18.0,GRO,8,Haas F1 Team,10.0,2018,5,Barcelona,10.0
19.0,GAS,10,Toro Rosso,12.0,2018,5,Barcelona,12.0
20.0,HUL,27,Renault,16.0,2018,5,Barcelona,16.0
1.0,RIC,3,Red Bull Racing,1.0,2018,6,Monte Carlo,1.0
2.0,VET,5,Ferrari,2.0,2018,6,Monte Carlo,2.0
3.0,HAM,44,Mercedes,3.0,2018,6,Monte Carlo,3.0
4.0,RAI,7,Ferrari,4.0,2018,6,Monte Carlo,4.0
5.0,BOT,77,Mercedes,5.0,2018,6,Monte Carlo,5.0
6.0,OCO,31,Force India,6.0,2018,6,Monte Carlo,6.0
7.0,GAS,10,Toro Rosso,10.0,2018,6,Monte Carlo,10.0
8.0,HUL,27,Renault,11.0,2018,6,Monte Carlo,11.0
9.0,VER,33,Red Bull Racing,20.0,2018,6,Monte Carlo,20.0
10.0,SAI,55,Renault,8.0,2018,6,Monte Carlo,8.0
11.0,ERI,9,Sauber,16.0,2018,6,Monte Carlo,17.0
12.0,PER,11,Force India,9.0,2018,6,Monte Carlo,9.0
13.0,MAG,20,Haas F1 Team,19.0,2018,6,Monte Carlo,19.0
14.0,VAN,2,McLaren,12.0,2018,6,Monte Carlo,12.0
15.0,GRO,8,Haas F1 Team,18.0,2018,6,Monte Carlo,15.0
16.0,SIR,35,Williams,13.0,2018,6,Monte Carlo,13.0
17.0,STR,18,Williams,17.0,2018,6,Monte Carlo,18.0
18.0,LEC,16,Sauber,14.0,2018,6,Monte Carlo,14.0
19.0,HAR,28,Toro Rosso,15.0,2018,6,Monte Carlo,16.0
20.0,ALO,14,McLaren,7.0,2018,6,Monte Carlo,7.0
1.0,VET,5,Ferrari,1.0,2018,7,Montréal,1.0
2.0,BOT,77,Mercedes,2.0,2018,7,Montréal,2.0
3.0,VER,33,Red Bull Racing,3.0,2018,7,Montréal,3.0
4.0,RIC,3,Red Bull Racing,6.0,2018,7,Montréal,6.0
5.0,HAM,44,Mercedes,4.0,2018,7,Montréal,4.0
6.0,RAI,7,Ferrari,5.0,2018,7,Montréal,5.0
7.0,HUL,27,Renault,7.0,2018,7,Montréal,7.0
8.0,SAI,55,Renault,9.0,2018,7,Montréal,9.0
9.0,OCO,31,Force India,8.0,2018,7,Montréal,8.0
10.0,LEC,16,Sauber,13.0,2018,7,Montréal,13.0
11.0,GAS,10,Toro Rosso,16.0,2018,7,Montréal,16.0
12.0,GRO,8,Haas F1 Team,20.0,2018,7,Montréal,20.0
13.0,MAG,20,Haas F1 Team,11.0,2018,7,Montréal,11.0
14.0,PER,11,Force India,10.0,2018,7,Montréal,10.0
15.0,ERI,9,Sauber,19.0,2018,7,Montréal,19.0
16.0,VAN,2,McLaren,15.0,2018,7,Montréal,15.0
17.0,SIR,35,Williams,18.0,2018,7,Montréal,18.0
18.0,ALO,14,McLaren,14.0,2018,7,Montréal,14.0
19.0,HAR,28,Toro Rosso,12.0,2018,7,Montréal,12.0
