Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Year,Round,Circuit_race,Position_quali,DriverNumber_quali,TeamName_quali,Circuit_quali
1.0,VET,5,Ferrari,3.0,2018,1,Melbourne,3.0,5,Ferrari,Melbourne
2.0,HAM,44,Mercedes,1.0,2018,1,Melbourne,1.0,44,Mercedes,Melbourne
3.0,RAI,7,Ferrari,2.0,2018,1,Melbourne,2.0,7,Ferrari,Melbourne
4.0,RIC,3,Red Bull Racing,8.0,2018,1,Melbourne,5.0,3,Red Bull Racing,Melbourne
5.0,ALO,14,McLaren,10.0,2018,1,Melbourne,11.0,14,McLaren,Melbourne
6.0,VER,33,Red Bull Racing,4.0,2018,1,Melbourne,4.0,33,Red Bull Racing,Melbourne
7.0,HUL,27,Renault,7.0,2018,1,Melbourne,8.0,27,Renault,Melbourne
8.0,BOT,77,Mercedes,15.0,2018,1,Melbourne,10.0,77,Mercedes,Melbourne
9.0,VAN,2,McLaren,11.0,2018,1,Melbourne,12.0,2,McLaren,Melbourne
10.0,SAI,55,Renault,9.0,2018,1,Melbourne,9.0,55,Renault,Melbourne
11.0,PER,11,Force India,12.0,2018,1,Melbourne,13.0,11,Force India,Melbourne
12.0,OCO,31,Force India,14.0,2018,1,Melbourne,15.0,31,Force India,Melbourne
13.0,LEC,16,Sauber,18.0,2018,1,Melbourne,18.0,16,Sauber,Melbourne
14.0,STR,18,Williams,13.0,2018,1,Melbourne,14.0,18,Williams,Melbourne
15.0,HAR,28,Toro Rosso,16.0,2018,1,Melbourne,16.0,28,Toro Rosso,Melbourne
16.0,GRO,8,Haas F1 Team,6.0,2018,1,Melbourne,7.0,8,Haas F1 Team,Melbourne
17.0,MAG,20,Haas F1 Team,5.0,2018,1,Melbourne,6.0,20,Haas F1 Team,Melbourne
18.0,GAS,10,Toro Rosso,20.0,2018,1,Melbourne,20.0,10,Toro Rosso,Melbourne
19.0,ERI,9,Sauber,17.0,2018,1,Melbourne,17.0,9,Sauber,Melbourne
20.0,SIR,35,Williams,19.0,2018,1,Melbourne,19.0,35,Williams,Melbourne
1.0,VET,5,Ferrari,1.0,2018,2,Sakhir,1.0,5,Ferrari,Sakhir
2.0,BOT,77,Mercedes,3.0,2018,2,Sakhir,3.0,77,Mercedes,Sakhir
3.0,HAM,44,Mercedes,9.0,2018,2,Sakhir,4.0,44,Mercedes,Sakhir
4.0,GAS,10,Toro Rosso,5.0,2018,2,Sakhir,6.0,10,Toro Rosso,Sakhir
5.0,MAG,20,Haas F1 Team,6.0,2018,2,Sakhir,7.0,20,Haas F1 Team,Sakhir
6.0,HUL,27,Renault,7.0,2018,2,Sakhir,8.0,27,Renault,Sakhir
7.0,ALO,14,McLaren,13.0,2018,2,Sakhir,13.0,14,McLaren,Sakhir
8.0,VAN,2,McLaren,14.0,2018,2,Sakhir,14.0,2,McLaren,Sakhir
9.0,ERI,9,Sauber,17.0,2018,2,Sakhir,17.0,9,Sauber,Sakhir
10.0,OCO,31,Force India,8.0,2018,2,Sakhir,9.0,31,Force India,Sakhir
11.0,SAI,55,Renault,10.0,2018,2,Sakhir,10.0,55,Renault,Sakhir
12.0,LEC,16,Sauber,19.0,2018,2,Sakhir,19.0,16,Sauber,Sakhir
13.0,GRO,8,Haas F1 Team,16.0,2018,2,Sakhir,16.0,8,Haas F1 Team,Sakhir
14.0,STR,18,Williams,20.0,2018,2,Sakhir,20.0,18,Williams,Sakhir
15.0,SIR,35,Williams,18.0,2018,2,Sakhir,18.0,35,Williams,Sakhir
16.0,PER,11,Force India,12.0,2018,2,Sakhir,12.0,11,Force India,Sakhir
17.0,HAR,28,Toro Rosso,11.0,2018,2,Sakhir,11.0,28,Toro Rosso,Sakhir
18.0,RAI,7,Ferrari,2.0,2018,2,Sakhir,2.0,7,Ferrari,Sakhir
19.0,VER,33,Red Bull Racing,15.0,2018,2,Sakhir,15.0,33,Red Bull Racing,Sakhir
20.0,RIC,3,Red Bull Racing,4.0,2018,2,Sakhir,5.0,3,Red Bull Racing,Sakhir
1.0,RIC,3,Red Bull Racing,6.0,2018,3,Shanghai,6.0,3,Red Bull Racing,Shanghai
2.0,BOT,77,Mercedes,3.0,2018,3,Shanghai,3.0,77,Mercedes,Shanghai
3.0,RAI,7,Ferrari,2.0,2018,3,Shanghai,2.0,7,Ferrari,Shanghai
4.0,HAM,44,Mercedes,4.0,2018,3,Shanghai,4.0,44,Mercedes,Shanghai
5.0,VER,33,Red Bull Racing,5.0,2018,3,Shanghai,5.0,33,Red Bull Racing,Shanghai
6.0,HUL,27,Renault,7.0,2018,3,Shanghai,7.0,27,Renault,Shanghai
7.0,ALO,14,McLaren,13.0,2018,3,Shanghai,13.0,14,McLaren,Shanghai
8.0,VET,5,Ferrari,1.0,2018,3,Shanghai,1.0,5,Ferrari,Shanghai
9.0,SAI,55,Renault,9.0,2018,3,Shanghai,9.0,55,Renault,Shanghai
10.0,MAG,20,Haas F1 Team,11.0,2018,3,Shanghai,11.0,20,Haas F1 Team,Shanghai
11.0,OCO,31,Force India,12.0,2018,3,Shanghai,12.0,31,Force India,Shanghai
12.0,PER,11,Force India,8.0,2018,3,Shanghai,8.0,11,Force India,Shanghai
13.0,VAN,2,McLaren,14.0,2018,3,Shanghai,14.0,2,McLaren,Shanghai
14.0,STR,18,Williams,18.0,2018,3,Shanghai,18.0,18,Williams,Shanghai
15.0,SIR,35,Williams,16.0,2018,3,Shanghai,16.0,35,Williams,Shanghai
16.0,ERI,9,Sauber,20.0,2018,3,Shanghai,20.0,9,Sauber,Shanghai
17.0,GRO,8,Haas F1 Team,10.0,2018,3,Shanghai,10.0,8,Haas F1 Team,Shanghai
18.0,GAS,10,Toro Rosso,17.0,2018,3,Shanghai,17.0,10,Toro Rosso,Shanghai
19.0,LEC,16,Sauber,19.0,2018,3,Shanghai,19.0,16,Sauber,Shanghai
20.0,HAR,28,Toro Rosso,15.0,2018,3,Shanghai,15.0,28,Toro Rosso,Shanghai
1.0,HAM,44,Mercedes,2.0,2018,4,Baku,2.0,44,Mercedes,Baku
