Position,Abbreviation,DriverNumber,TeamName,Year,Round,Circuit
1.0,LEC,16,Ferrari,2022,1,Sakhir
2.0,VER,1,Red Bull Racing,2022,1,Sakhir
3.0,SAI,55,Ferrari,2022,1,Sakhir
4.0,PER,11,Red Bull Racing,2022,1,Sakhir
5.0,HAM,44,Mercedes,2022,1,Sakhir
6.0,BOT,77,Alfa Romeo,2022,1,Sakhir
7.0,MAG,20,Haas F1 Team,2022,1,Sakhir
8.0,ALO,14,Alpine,2022,1,Sakhir
9.0,RUS,63,Mercedes,2022,1,Sakhir
10.0,GAS,10,AlphaTauri,2022,1,Sakhir
11.0,OCO,31,Alpine,2022,1,Sakhir
12.0,MSC,47,Haas F1 Team,2022,1,Sakhir
13.0,NOR,4,McLaren,2022,1,Sakhir
14.0,ALB,23,Williams,2022,1,Sakhir
15.0,ZHO,24,Alfa Romeo,2022,1,Sakhir
16.0,TSU,22,AlphaTauri,2022,1,Sakhir
17.0,HUL,27,Aston Martin,2022,1,Sakhir
18.0,RIC,3,McLaren,2022,1,Sakhir
19.0,STR,18,Aston Martin,2022,1,Sakhir
20.0,LAT,6,Williams,2022,1,Sakhir
1.0,PER,11,Red Bull Racing,2022,2,Jeddah
2.0,LEC,16,Ferrari,2022,2,Jeddah
3.0,SAI,55,Ferrari,2022,2,Jeddah
4.0,VER,1,Red Bull Racing,2022,2,Jeddah
5.0,OCO,31,Alpine,2022,2,Jeddah
6.0,RUS,63,Mercedes,2022,2,Jeddah
7.0,ALO,14,Alpine,2022,2,Jeddah
8.0,BOT,77,Alfa Romeo,2022,2,Jeddah
9.0,GAS,10,AlphaTauri,2022,2,Jeddah
10.0,MAG,20,Haas F1 Team,2022,2,Jeddah
11.0,NOR,4,McLaren,2022,2,Jeddah
12.0,RIC,3,McLaren,2022,2,Jeddah
13.0,ZHO,24,Alfa Romeo,2022,2,Jeddah
14.0,MSC,47,Haas F1 Team,2022,2,Jeddah
15.0,STR,18,Aston Martin,2022,2,Jeddah
16.0,HAM,44,Mercedes,2022,2,Jeddah
17.0,ALB,23,Williams,2022,2,Jeddah
18.0,HUL,27,Aston Martin,2022,2,Jeddah
19.0,LAT,6,Williams,2022,2,Jeddah
20.0,TSU,22,AlphaTauri,2022,2,Jeddah
1.0,LEC,16,Ferrari,2022,3,Melbourne
2.0,VER,1,Red Bull Racing,2022,3,Melbourne
3.0,PER,11,Red Bull Racing,2022,3,Melbourne
4.0,NOR,4,McLaren,2022,3,Melbourne
5.0,HAM,44,Mercedes,2022,3,Melbourne
6.0,RUS,63,Mercedes,2022,3,Melbourne
7.0,RIC,3,McLaren,2022,3,Melbourne
8.0,OCO,31,Alpine,2022,3,Melbourne
9.0,SAI,55,Ferrari,2022,3,Melbourne
10.0,ALO,14,Alpine,2022,3,Melbourne
11.0,GAS,10,AlphaTauri,2022,3,Melbourne
12.0,BOT,77,Alfa Romeo,2022,3,Melbourne
13.0,TSU,22,AlphaTauri,2022,3,Melbourne
14.0,ZHO,24,Alfa Romeo,2022,3,Melbourne
15.0,MSC,47,Haas F1 Team,2022,3,Melbourne
16.0,ALB,23,Williams,2022,3,Melbourne
17.0,MAG,20,Haas F1 Team,2022,3,Melbourne
18.0,VET,5,Aston Martin,2022,3,Melbourne
19.0,LAT,6,Williams,2022,3,Melbourne
20.0,STR,18,Aston Martin,2022,3,Melbourne
1.0,VER,1,Red Bull Racing,2022,4,Imola
2.0,LEC,16,Ferrari,2022,4,Imola
3.0,NOR,4,McLaren,2022,4,Imola
4.0,MAG,20,Haas F1 Team,2022,4,Imola
