Position,Abbreviation,DriverNumber,TeamName,GridPosition,Year,Round,Circuit
1.0,NOR,4,McLaren,1.0,2025,1,Melbourne
2.0,VER,1,Red Bull Racing,3.0,2025,1,Melbourne
3.0,RUS,63,Mercedes,4.0,2025,1,Melbourne
4.0,ANT,12,Mercedes,16.0,2025,1,Melbourne
5.0,ALB,23,Williams,6.0,2025,1,Melbourne
6.0,STR,18,Aston Martin,13.0,2025,1,Melbourne
7.0,HUL,27,Kick Sauber,17.0,2025,1,Melbourne
8.0,LEC,16,Ferrari,7.0,2025,1,Melbourne
9.0,PIA,81,McLaren,2.0,2025,1,Melbourne
10.0,HAM,44,Ferrari,8.0,2025,1,Melbourne
11.0,GAS,10,Alpine,9.0,2025,1,Melbourne
12.0,TSU,22,Racing Bulls,5.0,2025,1,Melbourne
13.0,OCO,31,Haas F1 Team,19.0,2025,1,Melbourne
14.0,BEA,87,Haas F1 Team,20.0,2025,1,Melbourne
15.0,LAW,30,Red Bull Racing,18.0,2025,1,Melbourne
16.0,BOR,5,Kick Sauber,15.0,2025,1,Melbourne
17.0,ALO,14,Aston Martin,12.0,2025,1,Melbourne
18.0,SAI,55,Williams,10.0,2025,1,Melbourne
19.0,DOO,7,Alpine,14.0,2025,1,Melbourne
20.0,HAD,6,Racing Bulls,11.0,2025,1,Melbourne
1.0,PIA,81,McLaren,1.0,2025,2,Shanghai
2.0,NOR,4,McLaren,3.0,2025,2,Shanghai
3.0,RUS,63,Mercedes,2.0,2025,2,Shanghai
4.0,VER,1,Red Bull Racing,4.0,2025,2,Shanghai
5.0,OCO,31,Haas F1 Team,11.0,2025,2,Shanghai
6.0,ANT,12,Mercedes,8.0,2025,2,Shanghai
7.0,ALB,23,Williams,10.0,2025,2,Shanghai
8.0,BEA,87,Haas F1 Team,17.0,2025,2,Shanghai
9.0,STR,18,Aston Martin,14.0,2025,2,Shanghai
10.0,SAI,55,Williams,15.0,2025,2,Shanghai
11.0,HAD,6,Racing Bulls,7.0,2025,2,Shanghai
12.0,LAW,30,Red Bull Racing,20.0,2025,2,Shanghai
13.0,DOO,7,Alpine,18.0,2025,2,Shanghai
14.0,BOR,5,Kick Sauber,19.0,2025,2,Shanghai
15.0,HUL,27,Kick Sauber,12.0,2025,2,Shanghai
16.0,TSU,22,Racing Bulls,9.0,2025,2,Shanghai
17.0,ALO,14,Aston Martin,13.0,2025,2,Shanghai
18.0,LEC,16,Ferrari,6.0,2025,2,Shanghai
19.0,HAM,44,Ferrari,5.0,2025,2,Shanghai
20.0,GAS,10,Alpine,16.0,2025,2,Shanghai
1.0,VER,1,Red Bull Racing,1.0,2025,3,Suzuka
2.0,NOR,4,McLaren,2.0,2025,3,Suzuka
3.0,PIA,81,McLaren,3.0,2025,3,Suzuka
4.0,LEC,16,Ferrari,4.0,2025,3,Suzuka
5.0,RUS,63,Mercedes,5.0,2025,3,Suzuka
6.0,ANT,12,Mercedes,6.0,2025,3,Suzuka
7.0,HAM,44,Ferrari,8.0,2025,3,Suzuka
8.0,HAD,6,Racing Bulls,7.0,2025,3,Suzuka
9.0,ALB,23,Williams,9.0,2025,3,Suzuka
10.0,BEA,87,Haas F1 Team,10.0,2025,3,Suzuka
11.0,ALO,14,Aston Martin,12.0,2025,3,Suzuka
12.0,TSU,22,Red Bull Racing,14.0,2025,3,Suzuka
13.0,GAS,10,Alpine,11.0,2025,3,Suzuka
14.0,SAI,55,Williams,15.0,2025,3,Suzuka
15.0,DOO,7,Alpine,19.0,2025,3,Suzuka
16.0,HUL,27,Kick Sauber,16.0,2025,3,Suzuka
17.0,LAW,30,Racing Bulls,13.0,2025,3,Suzuka
18.0,OCO,31,Haas F1 Team,18.0,2025,3,Suzuka
19.0,BOR,5,Kick Sauber,17.0,2025,3,Suzuka
20.0,STR,18,Aston Martin,20.0,2025,3,Suzuka
1.0,PIA,81,McLaren,1.0,2025,4,Sakhir
2.0,RUS,63,Mercedes,3.0,2025,4,Sakhir
3.0,NOR,4,McLaren,6.0,2025,4,Sakhir
4.0,LEC,16,Ferrari,2.0,2025,4,Sakhir
5.0,HAM,44,Ferrari,9.0,2025,4,Sakhir
6.0,VER,1,Red Bull Racing,7.0,2025,4,Sakhir
7.0,GAS,10,Alpine,4.0,2025,4,Sakhir
8.0,OCO,31,Haas F1 Team,14.0,2025,4,Sakhir
9.0,TSU,22,Red Bull Racing,10.0,2025,4,Sakhir
10.0,BEA,87,Haas F1 Team,20.0,2025,4,Sakhir
11.0,ANT,12,Mercedes,5.0,2025,4,Sakhir
12.0,ALB,23,Williams,15.0,2025,4,Sakhir
13.0,HAD,6,Racing Bulls,12.0,2025,4,Sakhir
14.0,DOO,7,Alpine,11.0,2025,4,Sakhir
15.0,ALO,14,Aston Martin,13.0,2025,4,Sakhir
16.0,LAW,30,Racing Bulls,17.0,2025,4,Sakhir
17.0,STR,18,Aston Martin,19.0,2025,4,Sakhir
18.0,BOR,5,Kick Sauber,18.0,2025,4,Sakhir
19.0,SAI,55,Williams,8.0,2025,4,Sakhir
20.0,HUL,27,Kick Sauber,16.0,2025,4,Sakhir
1.0,PIA,81,McLaren,2.0,2025,5,Jeddah
2.0,VER,1,Red Bull Racing,1.0,2025,5,Jeddah
3.0,LEC,16,Ferrari,4.0,2025,5,Jeddah
4.0,NOR,4,McLaren,10.0,2025,5,Jeddah
5.0,RUS,63,Mercedes,3.0,2025,5,Jeddah
6.0,ANT,12,Mercedes,5.0,2025,5,Jeddah
7.0,HAM,44,Ferrari,7.0,2025,5,Jeddah
8.0,SAI,55,Williams,6.0,2025,5,Jeddah
9.0,ALB,23,Williams,11.0,2025,5,Jeddah
10.0,HAD,6,Racing Bulls,14.0,2025,5,Jeddah
11.0,ALO,14,Aston Martin,13.0,2025,5,Jeddah
12.0,LAW,30,Racing Bulls,12.0,2025,5,Jeddah
13.0,BEA,87,Haas F1 Team,15.0,2025,5,Jeddah
14.0,OCO,31,Haas F1 Team,19.0,2025,5,Jeddah
15.0,HUL,27,Kick Sauber,18.0,2025,5,Jeddah
16.0,STR,18,Aston Martin,16.0,2025,5,Jeddah
17.0,DOO,7,Alpine,17.0,2025,5,Jeddah
18.0,BOR,5,Kick Sauber,20.0,2025,5,Jeddah
19.0,TSU,22,Red Bull Racing,8.0,2025,5,Jeddah
20.0,GAS,10,Alpine,9.0,2025,5,Jeddah
