Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Circuit_race,Position_quali,DriverNumber_quali,TeamName_quali,BestLap_Sec,IsWetQuali,Circuit_quali
1.0,VET,5,Ferrari,3.0,Finished,1,Finished,1,2018,1,Melbourne,3.0,5,Ferrari,81.838,0,Melbourne
2.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2018,1,Melbourne,1.0,44,Mercedes,81.164,0,Melbourne
3.0,RAI,7,Ferrari,2.0,Finished,1,Finished,1,2018,1,Melbourne,2.0,7,Ferrari,81.828,0,Melbourne
4.0,RIC,3,Red Bull Racing,8.0,Finished,1,Finished,1,2018,1,Melbourne,5.0,3,Red Bull Racing,82.152,0,Melbourne
5.0,ALO,14,McLaren,10.0,Finished,1,Finished,1,2018,1,Melbourne,11.0,14,McLaren,83.597,0,Melbourne
6.0,VER,33,Red Bull Racing,4.0,Finished,1,Finished,1,2018,1,Melbourne,4.0,33,Red Bull Racing,81.879,0,Melbourne
7.0,HUL,27,Renault,7.0,Finished,1,Finished,1,2018,1,Melbourne,8.0,27,Renault,83.532,0,Melbourne
8.0,BOT,77,Mercedes,15.0,Finished,1,Finished,1,2018,1,Melbourne,10.0,77,Mercedes,82.089,0,Melbourne
9.0,VAN,2,McLaren,11.0,Finished,1,Finished,1,2018,1,Melbourne,12.0,2,McLaren,83.853,0,Melbourne
10.0,SAI,55,Renault,9.0,Finished,1,Finished,1,2018,1,Melbourne,9.0,55,Renault,83.061,0,Melbourne
11.0,PER,11,Force India,12.0,Finished,1,Finished,1,2018,1,Melbourne,13.0,11,Force India,84.005,0,Melbourne
12.0,OCO,31,Force India,14.0,Finished,1,Finished,1,2018,1,Melbourne,15.0,31,Force India,84.503,0,Melbourne
13.0,LEC,16,Sauber,18.0,Finished,1,Finished,1,2018,1,Melbourne,18.0,16,Sauber,84.636,0,Melbourne
14.0,STR,18,Williams,13.0,Finished,1,Finished,1,2018,1,Melbourne,14.0,18,Williams,84.23,0,Melbourne
15.0,HAR,28,Toro Rosso,16.0,+1 Lap,0,Other,1,2018,1,Melbourne,16.0,28,Toro Rosso,84.532,0,Melbourne
16.0,GRO,8,Haas F1 Team,6.0,Wheel,0,Other,1,2018,1,Melbourne,7.0,8,Haas F1 Team,83.339,0,Melbourne
17.0,MAG,20,Haas F1 Team,5.0,Wheel,0,Other,1,2018,1,Melbourne,6.0,20,Haas F1 Team,83.187,0,Melbourne
18.0,GAS,10,Toro Rosso,20.0,Engine,0,Mechanical,1,2018,1,Melbourne,20.0,10,Toro Rosso,85.295,0,Melbourne
19.0,ERI,9,Sauber,17.0,Steering,0,Other,1,2018,1,Melbourne,17.0,9,Sauber,84.556,0,Melbourne
20.0,SIR,35,Williams,19.0,Brakes,0,Other,1,2018,1,Melbourne,19.0,35,Williams,84.922,0,Melbourne
1.0,VET,5,Ferrari,1.0,Finished,1,Finished,0,2018,2,Sakhir,1.0,5,Ferrari,87.958,0,Sakhir
2.0,BOT,77,Mercedes,3.0,Finished,1,Finished,0,2018,2,Sakhir,3.0,77,Mercedes,88.124,0,Sakhir
3.0,HAM,44,Mercedes,9.0,Finished,1,Finished,0,2018,2,Sakhir,4.0,44,Mercedes,88.22,0,Sakhir
4.0,GAS,10,Toro Rosso,5.0,Finished,1,Finished,0,2018,2,Sakhir,6.0,10,Toro Rosso,89.329,0,Sakhir
5.0,MAG,20,Haas F1 Team,6.0,Finished,1,Finished,0,2018,2,Sakhir,7.0,20,Haas F1 Team,89.358,0,Sakhir
6.0,HUL,27,Renault,7.0,Finished,1,Finished,0,2018,2,Sakhir,8.0,27,Renault,89.187,0,Sakhir
7.0,ALO,14,McLaren,13.0,+1 Lap,0,Other,0,2018,2,Sakhir,13.0,14,McLaren,90.212,0,Sakhir
8.0,VAN,2,McLaren,14.0,+1 Lap,0,Other,0,2018,2,Sakhir,14.0,2,McLaren,90.479,0,Sakhir
9.0,ERI,9,Sauber,17.0,+1 Lap,0,Other,0,2018,2,Sakhir,17.0,9,Sauber,91.063,0,Sakhir
10.0,OCO,31,Force India,8.0,+1 Lap,0,Other,0,2018,2,Sakhir,9.0,31,Force India,89.874,0,Sakhir
11.0,SAI,55,Renault,10.0,+1 Lap,0,Other,0,2018,2,Sakhir,10.0,55,Renault,89.802,0,Sakhir
12.0,LEC,16,Sauber,19.0,+1 Lap,0,Other,0,2018,2,Sakhir,19.0,16,Sauber,91.42,0,Sakhir
13.0,GRO,8,Haas F1 Team,16.0,+1 Lap,0,Other,0,2018,2,Sakhir,16.0,8,Haas F1 Team,90.53,0,Sakhir
14.0,STR,18,Williams,20.0,+1 Lap,0,Other,0,2018,2,Sakhir,20.0,18,Williams,91.503,0,Sakhir
15.0,SIR,35,Williams,18.0,+1 Lap,0,Other,0,2018,2,Sakhir,18.0,35,Williams,91.414,0,Sakhir
16.0,PER,11,Force India,12.0,+1 Lap,0,Other,0,2018,2,Sakhir,12.0,11,Force India,90.156,0,Sakhir
17.0,HAR,28,Toro Rosso,11.0,+1 Lap,0,Other,0,2018,2,Sakhir,11.0,28,Toro Rosso,90.105,0,Sakhir
18.0,RAI,7,Ferrari,2.0,Wheel,0,Other,0,2018,2,Sakhir,2.0,7,Ferrari,88.101,0,Sakhir
19.0,VER,33,Red Bull Racing,15.0,Puncture,0,Other,0,2018,2,Sakhir,15.0,33,Red Bull Racing,89.374,0,Sakhir
20.0,RIC,3,Red Bull Racing,4.0,Electrical,0,Other,0,2018,2,Sakhir,5.0,3,Red Bull Racing,88.398,0,Sakhir
1.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,1,2018,3,Shanghai,6.0,3,Red Bull Racing,91.948,0,Shanghai
2.0,BOT,77,Mercedes,3.0,Finished,1,Finished,1,2018,3,Shanghai,3.0,77,Mercedes,91.625,0,Shanghai
3.0,RAI,7,Ferrari,2.0,Finished,1,Finished,1,2018,3,Shanghai,2.0,7,Ferrari,91.182,0,Shanghai
4.0,HAM,44,Mercedes,4.0,Finished,1,Finished,1,2018,3,Shanghai,4.0,44,Mercedes,91.675,0,Shanghai
5.0,VER,33,Red Bull Racing,5.0,Finished,1,Finished,1,2018,3,Shanghai,5.0,33,Red Bull Racing,91.796,0,Shanghai
6.0,HUL,27,Renault,7.0,Finished,1,Finished,1,2018,3,Shanghai,7.0,27,Renault,92.494,0,Shanghai
7.0,ALO,14,McLaren,13.0,Finished,1,Finished,1,2018,3,Shanghai,13.0,14,McLaren,93.232,0,Shanghai
8.0,VET,5,Ferrari,1.0,Finished,1,Finished,1,2018,3,Shanghai,1.0,5,Ferrari,91.095,0,Shanghai
9.0,SAI,55,Renault,9.0,Finished,1,Finished,1,2018,3,Shanghai,9.0,55,Renault,92.819,0,Shanghai
10.0,MAG,20,Haas F1 Team,11.0,Finished,1,Finished,1,2018,3,Shanghai,11.0,20,Haas F1 Team,92.986,0,Shanghai
11.0,OCO,31,Force India,12.0,Finished,1,Finished,1,2018,3,Shanghai,12.0,31,Force India,93.057,0,Shanghai
12.0,PER,11,Force India,8.0,Finished,1,Finished,1,2018,3,Shanghai,8.0,11,Force India,92.758,0,Shanghai
13.0,VAN,2,McLaren,14.0,Finished,1,Finished,1,2018,3,Shanghai,14.0,2,McLaren,93.505,0,Shanghai
14.0,STR,18,Williams,18.0,Finished,1,Finished,1,2018,3,Shanghai,18.0,18,Williams,94.285,0,Shanghai
15.0,SIR,35,Williams,16.0,Finished,1,Finished,1,2018,3,Shanghai,16.0,35,Williams,94.062,0,Shanghai
16.0,ERI,9,Sauber,20.0,Finished,1,Finished,1,2018,3,Shanghai,20.0,9,Sauber,94.914,0,Shanghai
17.0,GRO,8,Haas F1 Team,10.0,Finished,1,Finished,1,2018,3,Shanghai,10.0,8,Haas F1 Team,92.524,0,Shanghai
18.0,GAS,10,Toro Rosso,17.0,Finished,1,Finished,1,2018,3,Shanghai,17.0,10,Toro Rosso,94.101,0,Shanghai
19.0,LEC,16,Sauber,19.0,Finished,1,Finished,1,2018,3,Shanghai,19.0,16,Sauber,94.454,0,Shanghai
20.0,HAR,28,Toro Rosso,15.0,Collision damage,0,Other,1,2018,3,Shanghai,15.0,28,Toro Rosso,93.795,0,Shanghai
1.0,HAM,44,Mercedes,2.0,Finished,1,Finished,0,2018,4,Baku,2.0,44,Mercedes,101.677,1,Baku
2.0,RAI,7,Ferrari,6.0,Finished,1,Finished,0,2018,4,Baku,6.0,7,Ferrari,102.49,1,Baku
3.0,PER,11,Force India,8.0,Finished,1,Finished,0,2018,4,Baku,8.0,11,Force India,102.547,1,Baku
4.0,VET,5,Ferrari,1.0,Finished,1,Finished,0,2018,4,Baku,1.0,5,Ferrari,101.498,1,Baku
5.0,SAI,55,Renault,9.0,Finished,1,Finished,0,2018,4,Baku,10.0,55,Renault,103.351,1,Baku
6.0,LEC,16,Sauber,13.0,Finished,1,Finished,0,2018,4,Baku,14.0,16,Sauber,103.752,1,Baku
