Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Position_quali,BestLap_Sec,IsWetQuali,Circuit,TrackLength_km,Corners,Type,OvertakingDifficulty,PositionDelta,DriverForm,DriverCircuitForm,TeamForm,IsRookieRace,IsNewCircuit
1.0,VET,5,Ferrari,3.0,Finished,1,Finished,1,2018,1,3.0,81.838,0,Melbourne,5.303,16,Permanent,Moderate,-2.0,,,3.6666666666666665,1,1
2.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2018,1,1.0,81.164,0,Melbourne,5.303,16,Permanent,Moderate,1.0,,,9.666666666666666,1,1
3.0,RAI,7,Ferrari,2.0,Finished,1,Finished,1,2018,1,2.0,81.828,0,Melbourne,5.303,16,Permanent,Moderate,1.0,,,7.0,1,1
4.0,RIC,3,Red Bull Racing,8.0,Finished,1,Finished,1,2018,1,5.0,82.152,0,Melbourne,5.303,16,Permanent,Moderate,-4.0,,,15.666666666666666,1,1
5.0,ALO,14,McLaren,10.0,Finished,1,Finished,1,2018,1,11.0,83.597,0,Melbourne,5.303,16,Permanent,Moderate,-5.0,,,,1,1
6.0,VER,33,Red Bull Racing,4.0,Finished,1,Finished,1,2018,1,4.0,81.879,0,Melbourne,5.303,16,Permanent,Moderate,2.0,,,15.0,1,1
7.0,HUL,27,Alpine,7.0,Finished,1,Finished,1,2018,1,8.0,83.532,0,Melbourne,5.303,16,Permanent,Moderate,0.0,,,11.666666666666666,1,1
8.0,BOT,77,Mercedes,15.0,Finished,1,Finished,1,2018,1,10.0,82.089,0,Melbourne,5.303,16,Permanent,Moderate,-7.0,,,14.0,1,1
9.0,VAN,2,McLaren,11.0,Finished,1,Finished,1,2018,1,12.0,83.853,0,Melbourne,5.303,16,Permanent,Moderate,-2.0,,,5.0,1,1
10.0,SAI,55,Alpine,9.0,Finished,1,Finished,1,2018,1,9.0,83.061,0,Melbourne,5.303,16,Permanent,Moderate,1.0,,,6.333333333333333,1,1
11.0,PER,11,Aston Martin,12.0,Finished,1,Finished,1,2018,1,13.0,84.005,0,Melbourne,5.303,16,Permanent,Moderate,-1.0,,,14.333333333333334,1,1
