Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,BOT,77,Mercedes,62.939,0,2020,1,Spielberg
2.0,HAM,44,Mercedes,62.951,0,2020,1,Spielberg
3.0,VER,33,Red Bull Racing,63.477,0,2020,1,Spielberg
4.0,NOR,4,McLaren,63.626,0,2020,1,Spielberg
5.0,ALB,23,Red Bull Racing,63.746,0,2020,1,Spielberg
6.0,PER,11,Racing Point,63.86,0,2020,1,Spielberg
7.0,LEC,16,Ferrari,63.923,0,2020,1,Spielberg
8.0,SAI,55,McLaren,63.971,0,2020,1,Spielberg
9.0,STR,18,Racing Point,63.955,0,2020,1,Spielberg
10.0,RIC,3,Renault,64.023,0,2020,1,Spielberg
11.0,VET,5,Ferrari,64.206,0,2020,1,Spielberg
12.0,GAS,10,AlphaTauri,64.305,0,2020,1,Spielberg
13.0,KVY,26,AlphaTauri,64.431,0,2020,1,Spielberg
14.0,OCO,31,Renault,64.643,0,2020,1,Spielberg
15.0,GRO,8,Haas F1 Team,64.691,0,2020,1,Spielberg
16.0,MAG,20,Haas F1 Team,65.164,0,2020,1,Spielberg
17.0,RUS,63,Williams,65.167,0,2020,1,Spielberg
18.0,GIO,99,Alfa Romeo Racing,65.175,0,2020,1,Spielberg
19.0,RAI,7,Alfa Romeo Racing,65.224,0,2020,1,Spielberg
20.0,LAT,6,Williams,65.757,0,2020,1,Spielberg
1.0,HAM,44,Mercedes,77.825,1,2020,2,Spielberg
2.0,VER,33,Red Bull Racing,77.938,1,2020,2,Spielberg
3.0,SAI,55,McLaren,78.59,1,2020,2,Spielberg
4.0,BOT,77,Mercedes,78.657,1,2020,2,Spielberg
5.0,OCO,31,Renault,78.764,1,2020,2,Spielberg
6.0,NOR,4,McLaren,78.448,1,2020,2,Spielberg
7.0,ALB,23,Red Bull Racing,79.014,1,2020,2,Spielberg
8.0,GAS,10,AlphaTauri,78.744,1,2020,2,Spielberg
9.0,RIC,3,Renault,79.229,1,2020,2,Spielberg
10.0,VET,5,Ferrari,79.545,1,2020,2,Spielberg
11.0,LEC,16,Ferrari,79.628,1,2020,2,Spielberg
12.0,RUS,63,Williams,79.636,1,2020,2,Spielberg
13.0,STR,18,Racing Point,79.645,1,2020,2,Spielberg
14.0,KVY,26,AlphaTauri,79.717,1,2020,2,Spielberg
15.0,MAG,20,Haas F1 Team,80.211,1,2020,2,Spielberg
16.0,RAI,7,Alfa Romeo Racing,81.372,1,2020,2,Spielberg
17.0,PER,11,Racing Point,81.607,1,2020,2,Spielberg
18.0,LAT,6,Williams,81.759,1,2020,2,Spielberg
19.0,GIO,99,Alfa Romeo Racing,81.831,1,2020,2,Spielberg
20.0,GRO,8,Haas F1 Team,,1,2020,2,Spielberg
1.0,HAM,44,Mercedes,73.447,0,2020,3,Budapest
2.0,BOT,77,Mercedes,73.554,0,2020,3,Budapest
3.0,STR,18,Racing Point,74.377,0,2020,3,Budapest
4.0,PER,11,Racing Point,74.545,0,2020,3,Budapest
5.0,VET,5,Ferrari,74.774,0,2020,3,Budapest
6.0,LEC,16,Ferrari,74.817,0,2020,3,Budapest
7.0,VER,33,Red Bull Racing,74.849,0,2020,3,Budapest
8.0,NOR,4,McLaren,74.966,0,2020,3,Budapest
9.0,SAI,55,McLaren,75.027,0,2020,3,Budapest
10.0,GAS,10,AlphaTauri,75.508,0,2020,3,Budapest
11.0,RIC,3,Renault,75.661,0,2020,3,Budapest
12.0,RUS,63,Williams,75.585,0,2020,3,Budapest
13.0,ALB,23,Red Bull Racing,75.715,0,2020,3,Budapest
14.0,OCO,31,Renault,75.719,0,2020,3,Budapest
15.0,LAT,6,Williams,76.105,0,2020,3,Budapest
16.0,MAG,20,Haas F1 Team,76.152,0,2020,3,Budapest
17.0,KVY,26,AlphaTauri,76.204,0,2020,3,Budapest
18.0,GRO,8,Haas F1 Team,76.407,0,2020,3,Budapest
19.0,GIO,99,Alfa Romeo Racing,76.506,0,2020,3,Budapest
20.0,RAI,7,Alfa Romeo Racing,76.614,0,2020,3,Budapest
