Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Circuit
1.0,BOT,77,Mercedes,2.0,Finished,1,Finished,0,2019,1,Melbourne
2.0,HAM,44,Mercedes,1.0,Finished,1,Finished,0,2019,1,Melbourne
3.0,VER,33,Red Bull Racing,4.0,Finished,1,Finished,0,2019,1,Melbourne
4.0,VET,5,Ferrari,3.0,Finished,1,Finished,0,2019,1,Melbourne
5.0,LEC,16,Ferrari,5.0,Finished,1,Finished,0,2019,1,Melbourne
6.0,MAG,20,Haas F1 Team,7.0,Finished,1,Finished,0,2019,1,Melbourne
7.0,HUL,27,Renault,11.0,+1 Lap,0,Other,0,2019,1,Melbourne
8.0,RAI,7,Alfa Romeo Racing,9.0,+1 Lap,0,Other,0,2019,1,Melbourne
9.0,STR,18,Racing Point,16.0,+1 Lap,0,Other,0,2019,1,Melbourne
10.0,KVY,26,Toro Rosso,15.0,+1 Lap,0,Other,0,2019,1,Melbourne
11.0,GAS,10,Red Bull Racing,17.0,+1 Lap,0,Other,0,2019,1,Melbourne
12.0,NOR,4,McLaren,8.0,+1 Lap,0,Other,0,2019,1,Melbourne
13.0,PER,11,Racing Point,10.0,+1 Lap,0,Other,0,2019,1,Melbourne
14.0,ALB,23,Toro Rosso,13.0,+1 Lap,0,Other,0,2019,1,Melbourne
15.0,GIO,99,Alfa Romeo Racing,14.0,+1 Lap,0,Other,0,2019,1,Melbourne
16.0,RUS,63,Williams,19.0,+2 Laps,0,Other,0,2019,1,Melbourne
17.0,KUB,88,Williams,20.0,+3 Laps,0,Other,0,2019,1,Melbourne
18.0,GRO,8,Haas F1 Team,6.0,Wheel,0,Other,0,2019,1,Melbourne
19.0,RIC,3,Renault,12.0,Damage,0,Other,0,2019,1,Melbourne
20.0,SAI,55,McLaren,18.0,Engine,0,Mechanical,0,2019,1,Melbourne
1.0,HAM,44,Mercedes,3.0,Finished,1,Finished,0,2019,2,Sakhir
2.0,BOT,77,Mercedes,4.0,Finished,1,Finished,0,2019,2,Sakhir
3.0,LEC,16,Ferrari,1.0,Finished,1,Finished,0,2019,2,Sakhir
4.0,VER,33,Red Bull Racing,5.0,Finished,1,Finished,0,2019,2,Sakhir
5.0,VET,5,Ferrari,2.0,Finished,1,Finished,0,2019,2,Sakhir
6.0,NOR,4,McLaren,9.0,Finished,1,Finished,0,2019,2,Sakhir
