Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,RaceTime_Sec,PitStops,IsWetRace,Year,Round,Circuit
1.0,NOR,4,McLaren,1.0,Finished,6126.304,2,1,2025,1,Melbourne
2.0,VER,1,Red Bull Racing,3.0,Finished,0.895,2,1,2025,1,Melbourne
3.0,RUS,63,Mercedes,4.0,Finished,8.481,2,1,2025,1,Melbourne
4.0,ANT,12,Mercedes,16.0,Finished,10.135,2,1,2025,1,Melbourne
5.0,ALB,23,Williams,6.0,Finished,12.773,2,1,2025,1,Melbourne
6.0,STR,18,Aston Martin,13.0,Finished,17.413,2,1,2025,1,Melbourne
7.0,HUL,27,Kick Sauber,17.0,Finished,18.423,2,1,2025,1,Melbourne
8.0,LEC,16,Ferrari,7.0,Finished,19.826,2,1,2025,1,Melbourne
9.0,PIA,81,McLaren,2.0,Finished,20.448,2,1,2025,1,Melbourne
10.0,HAM,44,Ferrari,8.0,Finished,22.473,2,1,2025,1,Melbourne
11.0,GAS,10,Alpine,9.0,Finished,26.502,2,1,2025,1,Melbourne
12.0,TSU,22,Racing Bulls,5.0,Finished,29.884,2,1,2025,1,Melbourne
13.0,OCO,31,Haas F1 Team,19.0,Finished,33.161,2,1,2025,1,Melbourne
14.0,BEA,87,Haas F1 Team,20.0,Finished,40.351,2,1,2025,1,Melbourne
15.0,LAW,30,Red Bull Racing,18.0,Retired,,2,1,2025,1,Melbourne
16.0,BOR,5,Kick Sauber,15.0,Retired,,2,1,2025,1,Melbourne
17.0,ALO,14,Aston Martin,12.0,Retired,,2,1,2025,1,Melbourne
18.0,SAI,55,Williams,10.0,Retired,,0,1,2025,1,Melbourne
19.0,DOO,7,Alpine,14.0,Retired,,0,1,2025,1,Melbourne
20.0,HAD,6,Racing Bulls,11.0,Retired,,0,1,2025,1,Melbourne
1.0,PIA,81,McLaren,1.0,Finished,5455.026,0,0,2025,2,Shanghai
2.0,NOR,4,McLaren,3.0,Finished,9.748,0,0,2025,2,Shanghai
3.0,RUS,63,Mercedes,2.0,Finished,11.097,0,0,2025,2,Shanghai
4.0,VER,1,Red Bull Racing,4.0,Finished,16.656,0,0,2025,2,Shanghai
5.0,OCO,31,Haas F1 Team,11.0,Finished,49.969,0,0,2025,2,Shanghai
6.0,ANT,12,Mercedes,8.0,Finished,53.748,0,0,2025,2,Shanghai
7.0,ALB,23,Williams,10.0,Finished,56.321,0,0,2025,2,Shanghai
8.0,BEA,87,Haas F1 Team,17.0,Finished,61.303,0,0,2025,2,Shanghai
9.0,STR,18,Aston Martin,14.0,Finished,70.204,0,0,2025,2,Shanghai
10.0,SAI,55,Williams,15.0,Finished,76.387,0,0,2025,2,Shanghai
11.0,HAD,6,Racing Bulls,7.0,Finished,78.875,0,0,2025,2,Shanghai
12.0,LAW,30,Red Bull Racing,20.0,Finished,81.147,0,0,2025,2,Shanghai
13.0,DOO,7,Alpine,18.0,Finished,88.401,0,0,2025,2,Shanghai
14.0,BOR,5,Kick Sauber,19.0,Lapped,10.756,0,0,2025,2,Shanghai
15.0,HUL,27,Kick Sauber,12.0,Lapped,20.226,0,0,2025,2,Shanghai
16.0,TSU,22,Racing Bulls,9.0,Lapped,23.511,0,0,2025,2,Shanghai
17.0,ALO,14,Aston Martin,13.0,Retired,,0,0,2025,2,Shanghai
18.0,LEC,16,Ferrari,6.0,Disqualified,,0,0,2025,2,Shanghai
19.0,HAM,44,Ferrari,5.0,Disqualified,,0,0,2025,2,Shanghai
20.0,GAS,10,Alpine,16.0,Disqualified,,0,0,2025,2,Shanghai
